time,lat,lon,alt,speed,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,roll,pitch,yaw,mode,time_sec
16643321,-35.364170,149.165228,787.28,45.020000,-0.696021,-0.008910,-2.269519,0.037587,-0.023645,0.003885,4.001351,61.722477,359.042084,15,0.179938
16843253,-35.364250,149.165227,804.12,44.554001,-0.667507,-0.045205,-2.181653,0.029997,-0.025367,0.004437,3.837965,59.173847,358.876404,15,0.379870
17043184,-35.364330,149.165225,820.58,44.101002,-0.648939,-0.026318,-2.116088,-0.003123,-0.027168,0.004368,3.651787,56.627239,358.730469,15,0.579801
17243115,-35.364409,149.165224,836.68,43.662003,-0.635748,-0.007870,-2.118586,-0.014602,-0.027561,0.004841,3.541946,54.078583,358.623352,15,0.779732
17443046,-35.364487,149.165222,852.39,43.235001,-0.619270,-0.037837,-2.029463,-0.019652,-0.032493,0.004380,3.431672,51.538349,358.538849,15,0.979663
17642977,-35.364564,149.165221,867.77,42.818001,-0.601526,-0.066068,-1.979206,-0.015201,-0.031893,0.005855,3.382723,48.999393,358.465485,15,1.179594
17842909,-35.364641,149.165219,882.78,42.413002,-0.593629,-0.034881,-1.960516,-0.006894,-0.034906,0.005275,3.304608,46.478924,358.407166,15,1.379526
18042840,-35.364717,149.165217,897.37,42.018002,-0.578997,-0.048625,-1.888138,0.018555,-0.035779,0.005370,3.297683,43.969604,358.373810,15,1.579457
18242771,-35.364792,149.165216,911.58,41.632004,-0.564656,-0.059552,-1.851037,0.033667,-0.037231,0.006795,3.245528,41.474800,358.358521,15,1.779388
